,path,time_scraped,canopy_moisture,dz,extent,extent_fmt,fire_grid,fuel,ignition,output,resolution,resolution_units,run_binary,run_end,run_max_mem_rss_bytes,run_start,seed,sim_time,surface_moisture,threads,timestep,topo,wind_direction,wind_speed
78,burnpro3d/d/01/fa/run_01faa078-4076-4d03-8af5-f718208c0f6a,2023-07-27T17:05:28.453250,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T20:26:36.560918-07:00,4245740,2023-06-19T14:54:21.792177-07:00,-1,6705,0.1,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",90.0,1.341
92,burnpro3d/d/02/20/run_0220a9c2-356e-4ca0-9a77-627782ee88a9,2023-07-27T17:05:28.453250,0.5,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-05T16:00:41.435265-07:00,2659032,2023-06-05T15:15:57.235810-07:00,-1,4225,0.3,1,600,,120.0,15.0
8,burnpro3d/d/02/5a/run_025a6ef4-0adc-4301-adf6-c9014e2832d8,2023-07-27T17:07:09.509209,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T22:30:33.046107-07:00,4232916,2023-06-19T15:55:24.866765-07:00,-1,8543,0.07,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",195.0,6.705
29,burnpro3d/d/02/90/run_0290190a-af45-4e51-bbde-943877af67f0,2023-07-27T17:07:09.509209,0.3,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-06T11:09:08.159395-07:00,2659828,2023-06-06T10:25:22.577268-07:00,-1,4225,0.1,1,600,,180.0,20.0
32,burnpro3d/d/02/92/run_02928b61-8e6a-49cd-8008-87418aefc096,2023-07-27T17:07:09.509209,0.3,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-05T15:38:16.067011-07:00,2658900,2023-06-05T15:09:28.440526-07:00,-1,4225,0.3,1,600,,120.0,5.0
34,burnpro3d/d/02/98/run_02988364-db45-43f4-88d1-b19063dd7afa,2023-07-27T17:07:09.509209,1.0,,"[123782.0, 1223754.0, 124586.0, 1222950.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-21T14:13:24.126235-07:00,2461544,2023-07-21T13:15:57.836418-07:00,-1,5918,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
39,burnpro3d/d/02/a0/run_02a00526-849b-4dd3-8d26-b6bf9d68b06d,2023-07-27T17:07:09.509209,0.9,,"[-1959092.0, 1310426.0, -1958552.0, 1309880.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T19:14:29.301921-07:00,452076,2023-06-23T18:36:59.287236-07:00,-1,19838,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,6.705
49,burnpro3d/d/02/b8/run_02b87e78-287d-4a43-959d-772f7cc5f346,2023-07-27T17:07:09.509209,1.0,,"[-928246.0, 1477596.0, -927440.0, 1476900.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-28T08:55:42.808043-07:00,1938784,2023-06-28T07:47:40.838221-07:00,-1,3824,0.05,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",15.0,4.47
64,burnpro3d/d/02/e4/run_02e4d500-83b1-4226-b263-df6673473ff4,2023-07-27T17:07:09.509209,1.0,,"[-928246.0, 1477596.0, -927440.0, 1476900.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-28T09:05:51.020223-07:00,1938596,2023-06-28T07:51:48.803175-07:00,-1,3824,0.05,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",75.0,4.47
66,burnpro3d/d/02/e9/run_02e9be4d-d758-4cb8-9ae6-9be13f507bdd,2023-07-27T17:07:09.509209,1.2,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-16T19:08:47.929467-07:00,4229724,2023-06-16T13:30:54.991974-07:00,-1,6640,0.15,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",60.0,2.235
74,burnpro3d/d/03/06/run_03068d42-1c45-4af9-98c9-78837082d546,2023-07-27T17:07:09.509209,1.0,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-14T16:17:40.756403-07:00,2470848,2023-06-14T12:22:08.956151-07:00,-1,11359,0.05,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",180.0,2.235
82,burnpro3d/d/03/22/run_0322561b-711f-4fd0-aabc-687753f561e4,2023-07-27T17:07:09.509209,0.9,,"[-1959092.0, 1310426.0, -1958552.0, 1309880.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T19:16:44.163893-07:00,451720,2023-06-23T18:52:19.906165-07:00,-1,11719,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,4.47
6,burnpro3d/d/03/61/run_0361425b-d728-4092-a153-a753339e7ff6,2023-07-27T17:10:48.294526,0.4,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-06T11:34:45.390760-07:00,2659060,2023-06-06T10:24:59.120364-07:00,-1,4225,0.1,1,600,,90.0,15.0
8,burnpro3d/d/03/6a/run_036ade61-cbfa-46bc-b0ba-8fd6627ac767,2023-07-27T17:10:48.294526,0.8,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-14T15:18:48.475738-07:00,2470240,2023-06-14T12:24:11.387122-07:00,-1,11359,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",150.0,3.129
18,burnpro3d/d/03/83/run_03832093-083a-4e32-bd50-d33e8dfdf6e6,2023-07-27T17:10:48.294526,0.9,,"[-1959092.0, 1310426.0, -1958552.0, 1309880.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T14:36:17.260056-07:00,452140,2023-06-23T14:23:46.833300-07:00,-1,5223,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,4.47
31,burnpro3d/d/03/a6/run_03a6d907-755a-4fcf-94e2-d5ee369eef38,2023-07-27T17:10:48.294526,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T20:56:54.097372-07:00,4231776,2023-06-19T16:06:07.456839-07:00,-1,8543,0.11,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",225.0,3.129
41,burnpro3d/d/03/c9/run_03c9e618-341e-447b-be36-63d08402493e,2023-07-27T17:10:48.294526,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:19:10.728883-07:00,2428228,2023-06-23T14:18:23.649738-07:00,-1,13493,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,4.47
45,burnpro3d/d/03/da/run_03da88f6-8e09-4b64-a606-912c533ff553,2023-07-27T17:10:48.294526,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T21:03:14.670530-07:00,4232372,2023-06-19T15:39:28.173875-07:00,-1,8543,0.07,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",255.0,6.705
52,burnpro3d/d/03/fa/run_03fa3d9a-e640-46cf-89ba-ac9ace3f8efe,2023-07-27T17:10:48.294526,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-15T15:33:56.566783-07:00,2470180,2023-06-15T12:04:54.636207-07:00,-1,11382,0.05,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,4.47
66,burnpro3d/d/04/2c/run_042cae2a-2ce7-41b5-8ee5-9c96aad008b7,2023-07-27T17:10:48.294526,0.9,,"[123782.0, 1223754.0, 124586.0, 1222950.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-21T14:07:12.276857-07:00,2461984,2023-07-21T13:16:25.426569-07:00,-1,5918,0.25,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,4.47
69,burnpro3d/d/04/30/run_04306d95-9a2a-49d8-ba36-1b3275cdf65c,2023-07-27T17:10:48.294526,0.9,,"[123782.0, 1223754.0, 124586.0, 1222950.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-21T14:10:46.403780-07:00,2461768,2023-07-21T13:16:00.461479-07:00,-1,5918,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,2.235
112,burnpro3d/d/04/c4/run_04c48fa0-b24f-4a51-84e5-6e7d8366f5fc,2023-07-27T17:10:48.294526,0.9,,"[1298064.0, 942076.0, 1298868.0, 941272.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-18T16:46:10.113355-07:00,1336984,2023-07-18T16:04:55.345470-07:00,-1,5945,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,2.235
126,burnpro3d/d/04/ee/run_04ee63fa-3495-4b7e-b3cc-6e9242cb9a51,2023-07-27T17:10:48.294526,0.9,,"[123782.0, 1223754.0, 124586.0, 1222950.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-21T14:00:11.906802-07:00,2449560,2023-07-21T13:04:53.021200-07:00,-1,5918,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
